cue,response,count
aanhouden,arresteren,11
aanhouding,politie,72
aanhouding,arrestatie,45
aanhouding,misdaad,15
aanhouding,bevel,11
aankijken,ogen,34
aankijken,zien,25
aankijken,staren,19
aankijken,bekijken,18
aankleden,ochtend,26
aankleden,kledij,11
aankleden,kleren,10
aankomen,arriveren,38
aankomen,verdikken,16
aankomen,aanraken,15
aankomen,reizen,10
aankomst,trein,18
aankomst,finish,16
aankomst,luchthaven,13
aankomst,einde,11
aankondigen,huwelijk,24
aankondigen,nieuws,22
aankondigen,geboorte,10
aankondigen,meedelen,10
aankondiging,huwelijk,22
aankondiging,uitnodiging,15
aankondiging,nieuws,14
aankondiging,geboorte,12
aankoop,geld,40
aankoop,winkel,24
aankoop,verkoop,12
aankoop,nieuw,9
aankopen,geld,47
aankopen,winkel,30
aankopen,boodschappen,16
aankopen,aanschaffen,9
aanleg,talent,52
aanleg,gave,17
aanleg,tuin,13
aanleg,aangeboren,11
aanleggen,boot,34
aanleggen,aanmeren,20
aanleggen,borstvoeding,10
aanlegsteiger,boot,70
aanlegsteiger,water,37
aanlegsteiger,haven,26
aanlegsteiger,zee,15
aanleiding,oorzaak,55
aanleiding,reden,36
aanleiding,begin,35
aanleiding,gevolg,21
aanleren,school,24
aanleren,geduld,11
aanleren,studeren,10
aanleren,oefenen,9
aanlokkelijk,mooi,41
aanlokkelijk,aantrekkelijk,28
aanlokkelijk,verleidelijk,21
aanlokkelijk,voorstel,9
aanmaken,vuur,45
aanmaken,kachel,10
aanmaken,beginnen,7
aanmelden,receptie,18
aanmelden,inschrijven,15
aanmelden,balie,12
aanmelden,registreren,11
aanmoedigen,supporteren,17
aanmoedigen,roepen,16
aanmoedigen,sport,15
aanmoedigen,wedstrijd,15
aanmoedigend,positief,13
aanmoedigend,steun,10
aanmoedigend,schouderklopje,7
aannemen,aanvaarden,28
aannemen,krijgen,22
aannemen,ontvangen,16
aannemen,accepteren,12
aannemer,bouwen,32
aannemer,huis,25
aannemer,bouw,22
aannemer,geld,11
aanpak,begin,17
aanpak,manier,16
aanpak,doen,13
aanpak,methode,10
aanpakken,beginnen,21
aanpakken,aannemen,11
aanpakken,werken,10
aanpassen,veranderen,19
aanpassen,wijzigen,10
aanpassen,verbeteren,9
aanpassen,kleding,8
aanpassing,verandering,27
aanpassing,moeilijk,16
aanpassing,verbetering,12
aanplakbiljet,reclame,31
aanplakbiljet,affiche,23
aanplakbiljet,verkiezingen,23
aanplakbiljet,fuif,11
aanraden,advies,28
aanraden,aanbevelen,13
aanraden,helpen,12
aanraden,adviseren,11
aanraken,voelen,37
aanraken,strelen,26
aanraken,aaien,16
aanraken,zacht,12
aanraking,gevoel,19
aanraking,aai,16
aanraking,strelen,14
aanraking,zacht,12
aanrecht,keuken,59
aanrecht,afwas,35
aanrecht,koken,27
aanrecht,eten,16
aanreiken,geven,63
aanreiken,aangeven,20
aanreiken,hand,14
aanreiken,helpen,13
aanschaffen,kopen,80
aanschaffen,winkel,15
aanschaffen,geld,14
aanschaffen,verwerven,11
aanschuiven,rij,33
aanschuiven,wachten,33
aanschuiven,file,16
aanschuiven,kassa,16
aanslaan,succes,11
aanslaan,motor,9
aanslaan,populair,8
aanslag,bom,36
aanslag,geweld,16
aanslag,oorlog,16
aanslag,terrorisme,13
aansluiten,rij,21
aansluiten,vereniging,11
aansluiten,groep,8
aansluiten,volgen,8
aanspoelen,zee,50
aanspoelen,strand,31
aanspoelen,fles,19
aanspoelen,walvis,18
aanstaand,toekomstig,22
aanstaand,huwelijk,20
aanstaand,komend,17
aanstekelijk,lachen,42
aanstekelijk,lach,14
aanstekelijk,besmettelijk,12
aansteken,vuur,52
aansteken,lucifer,29
aansteken,sigaret,22
aansteken,aansteker,17
aansteker,vuur,66
aansteker,sigaret,57
aansteker,roken,25
aansteker,lucifer,19
aanstellen,benoemen,23
aanstellen,opvallen,9
aanstellen,aandacht,8
aanstellen,aanduiden,6
aanstranden,zee,26
aanstranden,strand,19
aanstranden,aanspoelen,17
aantal,hoeveelheid,43
aantal,getal,36
aantal,veel,26
aantal,nummer,15
aantonen,bewijzen,78
aantonen,wijzen,20
aantonen,aanwijzen,12
aantonen,laten zien,9
aantrekkelijk,mooi,70
aantrekkelijk,knap,24
aantrekkelijk,lief,24
aantrekkelijk,vrouw,19
aantrekken,kleren,23
aantrekken,kleding,21
aantrekken,kledij,13
aantrekken,aandoen,10
aantrekking,magneet,32
aantrekking,kracht,22
aantrekking,liefde,22
aantrekking,verliefd,11
aantrekkingskracht,magneet,20
aantrekkingskracht,liefde,19
aantrekkingskracht,aarde,14
aantrekkingskracht,mooi,12
aanvaardbaar,acceptabel,21
aanvaardbaar,goed,15
aanvaardbaar,ok,14
aanvaarden,accepteren,29
aanvaarden,aannemen,22
aanvaarden,akkoord,7
aanval,oorlog,42
aanval,verdediging,15
aanval,geweld,13
aanval,agressie,11
aanvallen,oorlog,37
aanvallen,agressie,15
aanvallen,geweld,14
aanvallen,verdedigen,14
aanvang,begin,87
aanvang,start,70
aanvang,einde,11
aanvang,opening,7
aanvoelen,empathie,19
aanvoelen,begrijpen,11
aanvoelen,zacht,11
aanvraag,formulier,30
aanvraag,verzoek,13
aanvraag,indienen,11
aanvullen,vervolledigen,21
aanvullen,rekken,19
aanvullen,toevoegen,14
aanvullen,bijvullen,11
aanwezig,present,30
aanwezig,hier,18
aanwezig,afwezig,17
aanwezige,present,24
aanwezige,vergadering,14
aanwezige,persoon,11
aanwezige,afwezige,10
aanwijzen,vinger,40
aanwijzen,tonen,32
aanwijzen,aanduiden,16
aanwijzen,wijsvinger,8
aanwijzing,tip,31
aanwijzing,hint,26
aanwijzing,pijl,17
aanwijzing,hulp,16
aanzet,begin,60
aanzet,start,33
aanzet,oorzaak,9
aanzetten,radio,17
aanzetten,beginnen,15
aanzetten,starten,14
aanzetten,televisie,11
aanzien,status,15
aanzien,respect,12
aanzien,macht,11
aanzien,kijken,10
aanzienlijk,veel,52
aanzienlijk,groot,40
aanzienlijk,enorm,16
aanzoek,huwelijk,55
aanzoek,vraag,28
aanzoek,trouwen,24
aanzoek,ring,20
aap,zoo,28
aap,mens,21
aap,dier,20
aap,dierentuin,18
aard,karakter,44
aard,soort,26
aard,beestje,8
aardappel,puree,29
aardappel,eten,26
aardappel,frieten,21
aardappel,schillen,18
aardappelen,puree,35
aardappelen,eten,23
aardappelen,friet,23
aardappelen,lekker,13
aardbei,rood,63
aardbei,lekker,36
aardbei,zomer,28
aardbei,fruit,21
aardbeien,lekker,54
aardbeien,rood,46
aardbeien,zomer,33
aardbeien,fruit,28
aardbeving,ramp,17
aardbeving,schade,14
aardbeving,schok,12
aardbeving,tsunami,12
aardbol,rond,40
aardbol,wereld,40
aardbol,aarde,20
aardbol,globe,17
aarde,rond,28
aarde,grond,27
aarde,bol,16
aarde,planeet,15
aarden,grond,16
aarden,wennen,14
aarden,gewoon worden,13
aardewerk,pot,31
aardewerk,klei,18
aardewerk,potten,17
aardewerk,vaas,13
aardgas,verwarming,33
aardgas,warmte,20
aardgas,duur,14
aardgas,koken,14
aardig,lief,83
aardig,vriendelijk,38
aardig,leuk,21
aardig,mooi,13
aardolie,petroleum,20
aardolie,zwart,17
aardolie,brandstof,12
aardolie,energie,12
aardrijkskunde,landen,20
aardrijkskunde,wereld,19
aardrijkskunde,atlas,18
aardrijkskunde,school,17
aards,paradijs,29
aards,grond,27
aards,hemels,20
aards,werelds,15
aars,gat,21
aars,kont,20
aars,poep,19
aartsmoeilijk,lastig,10
aartsmoeilijk,zwaar,10
aartsmoeilijk,ingewikkeld,9
aarzelen,twijfelen,62
aarzelen,onzeker,31
aarzelen,traag,12
aarzelen,treuzelen,12
aarzelend,onzeker,37
aarzelend,twijfelend,29
aarzelend,twijfel,12
aarzelend,bang,11
aas,vissen,50
aas,worm,31
aas,vis,30
aas,kaarten,15
abdij,bier,44
abdij,pater,30
abdij,klooster,24
abdij,paters,22
abnormaal,gek,28
abnormaal,raar,27
abnormaal,ongewoon,17
abnormaal,vreemd,17
abonnement,tijdschrift,31
abonnement,krant,29
abonnement,bus,27
abonnement,trein,26
abortus,baby,22
abortus,kind,18
abortus,dood,14
abortus,foetus,14
abrikoos,oranje,42
abrikoos,fruit,38
abrikoos,lekker,27
abrikoos,zacht,20
abrupt,plots,69
abrupt,ineens,22
abrupt,snel,22
absent,afwezig,78
absent,weg,20
absent,ziek,14
absoluut,zeker,76
absoluut,vast,14
absoluut,zonder twijfel,11
absorberen,opnemen,40
absorberen,opslorpen,29
absorberen,spons,23
absorberen,vocht,14
abstract,kunst,46
abstract,schilderij,11
abstract,moeilijk,10
absurd,gek,25
absurd,raar,17
absurd,stom,14
abt,klooster,44
abt,abdij,37
abt,pater,24
abt,monnik,11
acacia,boom,41
acacia,bloem,37
acacia,plant,29
academicus,universiteit,39
academicus,professor,36
academicus,geleerde,23
academicus,geleerd,15
academie,kunst,39
academie,muziek,33
academie,school,26
academie,tekenen,16
academisch,universiteit,33
academisch,geleerd,14
academisch,school,10
academisch,professor,8
acajou,kleur,49
acajou,haar,25
acajou,bruin,18
accent,dialect,38
accent,taal,26
accent,nadruk,21
accent,frans,14
accepteren,aanvaarden,61
accepteren,aannemen,26
accepteren,akkoord,5
accident,ongeluk,43
accident,auto,40
accident,ongeval,29
accident,verkeer,11
accomodatie,hotel,31
accomodatie,verblijf,16
accomodatie,inrichting,11
accomodatie,uitrusting,11
accordeon,muziek,65
accordeon,luc steeno,9
accordeon,toetsen,9
accordeon,instrument,7
accu,auto,76
accu,batterij,66
accu,opladen,22
accu,leeg,16
accuraat,juist,39
accuraat,precies,35
accuraat,nauwkeurig,26
accuraat,nauwgezet,14
ach,och,18
ach,ja,16
ach,wee,16
acht,cijfer,41
acht,getal,40
acht,negen,33
achteloos,nonchalant,29
achteloos,slordig,14
achteloos,onoplettend,12
achten,cijfers,20
achten,eren,18
achten,getal,10
achter,na,65
achter,voor,41
achter,later,11
achter,tuin,8
achteraan,laatste,27
achteraan,rij,25
achteraan,laatst,18
achteraan,klas,15
achteraf,nadien,60
achteraf,later,36
achteraf,erna,16
achteraf,te laat,16
achterbaks,gemeen,20
achterbaks,vals,16
achterbaks,oneerlijk,14
achterban,politiek,25
achterban,steun,18
achterban,familie,15
achterbank,auto,86
achterbank,kinderen,31
achterbank,vrijen,14
achterblijven,alleen,25
achterblijven,traag,13
achterblijven,eenzaam,11
achterblijven,verlaten,9
achterdeur,tuin,30
achterdeur,voordeur,21
achterdeur,huis,19
achterdeur,open,11
achterdocht,wantrouwen,27
achterdocht,argwaan,11
achterdocht,jaloezie,8
achterdochtig,wantrouwig,19
achterdochtig,bang,13
achterdochtig,paranoia,11
achterdochtig,wantrouwen,11
achtergrond,decor,14
achtergrond,foto,14
achtergrond,kleur,13
achtergrond,schilderij,10
achterhoofd,haar,40
achterhoofd,vallen,20
achterhoofd,hersenen,16
achterhoofd,schedel,12
achterin,auto,58
achterin,vanachter,15
achterin,achterbank,12
achterkant,voorkant,34
achterkant,rug,16
achterkant,huis,14
achterklap,roddel,48
achterklap,vrouwen,15
achterklap,roddelen,14
achterlaten,verlaten,22
achterlaten,vergeten,20
achterlaten,hond,15
achterlaten,verdriet,13
achterlijk,dom,55
achterlijk,stom,20
achterlijk,debiel,17
achterna,lopen,33
achterna,volgen,25
achterna,nadien,18
achternaam,voornaam,43
achternaam,familie,38
achternaam,familienaam,33
achterneef,familie,69
achterneef,ver,23
achterneef,achternicht,9
achterop,fiets,62
achterop,achteraan,12
achterop,traag,9
achterop,laatste,7
achterpoot,hond,38
achterpoot,dier,35
achterpoot,paard,20
achterpoot,voorpoot,18
achterste,laatste,37
achterste,kont,22
achterste,gat,18
achterste,billen,17
achteruit,vooruit,28
achteruit,auto,27
achteruit,terug,27
achteruit,rijden,16
achteruitgang,slecht,12
achteruitgang,economie,9
achteruitgang,vooruitgang,9
achtervolgen,politie,40
achtervolgen,auto,14
achtervolgen,film,13
achtervolgen,angst,10
achterwerk,kont,38
achterwerk,poep,29
achterwerk,dik,28
achterwerk,gat,26
achtste,negende,20
achtste,getal,13
achtste,deel,12
achttien,volwassen,37
achttien,meerderjarig,22
achttien,jong,21
achttien,rijbewijs,16
acne,puistjes,33
acne,jeugd,24
acne,puist,20
acne,puber,18
acrobaat,circus,77
acrobaat,lenig,26
acrobaat,trapeze,20
acrobaat,artiest,12
acteren,toneel,44
acteren,film,33
acteren,acteur,22
acteren,theater,14
acteur,film,68
acteur,toneel,26
acteur,tv,15
acteur,actrice,12
acteurs,film,45
acteurs,toneel,45
acteurs,tv,16
acteurs,theater,15
actie,reactie,30
actie,doen,25
actie,film,16
actie,beweging,12
actief,bezig,28
actief,sport,19
actief,passief,12
actief,werken,11
activisme,actief,14
activisme,politiek,10
activisme,greenpeace,6
activist,milieu,24
activist,greenpeace,15
activist,betoging,12
activist,protest,12
activiteit,doen,24
activiteit,bezigheid,23
activiteit,sport,16
activiteit,actie,13
actrice,film,57
actrice,acteur,25
actrice,toneel,25
actrice,theater,12
actueel,nieuws,56
actueel,nu,42
actueel,krant,26
actueel,hedendaags,13
acupunctuur,naalden,68
acupunctuur,chinees,22
acupunctuur,alternatief,18
acupunctuur,naald,14
acuut,dringend,37
acuut,snel,20
acuut,ziekte,20
acuut,direct,18
adam,eva,88
adam,appel,43
adam,bijbel,24
adam,man,16
adel,rijk,44
adel,kasteel,26
adel,koning,16
adel,baron,14
adelaar,vogel,57
adelaar,roofvogel,21
adelaar,arend,15
adelaar,groot,14
adem,lucht,43
adem,leven,39
adem,longen,17
adem,zuurstof,14
adembenemend,mooi,54
adembenemend,prachtig,17
adembenemend,geweldig,8
adembenemend,uitzicht,8
ademen,lucht,56
ademen,leven,47
ademen,longen,35
ademen,zuurstof,23
ademhalen,longen,42
ademhalen,lucht,41
ademhalen,leven,40
ademhalen,zuurstof,22
ademhaling,longen,41
ademhaling,lucht,30
ademhaling,leven,25
ademhaling,zuurstof,23
ademnood,stikken,27
ademnood,astma,23
ademnood,benauwd,18
ademnood,lucht,12
adequaat,correct,26
adequaat,juist,24
adequaat,gepast,17
ader,bloed,76
ader,hart,27
ader,lichaam,15
ader,bloedvat,12
adhd,druk,27
adhd,kinderen,19
adhd,hyperactief,17
adhd,actief,12
adieu,vaarwel,59
adieu,afscheid,39
adieu,tot ziens,29
adieu,frans,15
adjectief,bijvoeglijk naamwoord,16
adjectief,substantief,15
adjectief,bijwoord,13
adjudant,leger,80
adjudant,militair,11
adjudant,rang,11
administratie,papier,23
administratie,papierwerk,19
administratie,werk,19
administratie,papieren,13
admiraal,leger,54
admiraal,zee,19
admiraal,schip,12
admiraal,uniform,12
adoptie,kind,52
adoptie,buitenland,16
adoptie,kinderen,16
adoptie,ouders,15
adoreren,aanbidden,47
adoreren,bewonderen,19
adoreren,verafgoden,19
adoreren,fan,14
adrem,gevat,31
adrem,snel,26
adrem,bijdehand,9
adrenaline,sport,22
adrenaline,stress,17
adrenaline,spanning,16
adrenaline,kick,15
adres,straat,34
adres,huis,29
adres,woonplaats,24
adres,thuis,18
advent,kerstmis,42
advent,krans,38
advent,kaarsen,36
advent,kerst,19
advertentie,krant,58
advertentie,reclame,51
advertentie,aankondiging,12
advertentie,reklame,10
adverteren,reclame,48
adverteren,krant,41
adverteren,advertentie,24
adverteren,publiceren,10
advies,raad,76
advies,hulp,12
advies,dokter,8
advocaat,rechtbank,25
advocaat,toga,19
advocaat,geld,16
advocaat,rechter,12
advocado,groen,47
advocado,fruit,20
advocado,lekker,20
advocado,vrucht,16
advokaat,gerecht,19
advokaat,rechtbank,19
advokaat,proces,10
advokaat,drank,9
aerobic,sport,32
aerobic,muziek,17
aerobic,fitness,16
aerobic,turnen,16
af,gedaan,50
af,klaar,41
af,op,16
af,uit,15
afasie,taal,9
afasie,spreken,8
afasie,woorden,8
afbakenen,terrein,19
afbakenen,grenzen,16
afbakenen,territorium,16
afbakenen,grens,14
afbakening,grens,37
afbakening,hek,34
afbakening,omheining,17
afbakening,beperking,9
afbeelding,foto,89
afbeelding,prent,35
afbeelding,tekening,18
afbeelding,schilderij,16
afblijven,niet aankomen,16
afblijven,verboden,15
afblijven,aanraken,10
afblijven,gevaarlijk,10
afbraak,huis,22
afbraak,puin,12
afbraak,stenen,11
afbraak,sloop,8
afbranden,vuur,46
afbranden,huis,26
afbranden,rook,16
afbranden,as,14
afbreken,kapot,16
afbreken,stoppen,13
afbreken,huis,10
afbreken,muur,9
afdak,regen,49
afdak,droog,21
afdak,schuilen,19
afdak,bescherming,14
afdalen,berg,38
afdalen,trap,16
afdalen,grot,11
afdaling,berg,33
afdaling,skiën,16
afdaling,skien,13
afdaling,sneeuw,12
afdeling,ziekenhuis,22
afdeling,werk,17
afdeling,onderdeel,15
afdoen,uitdoen,25
afdoen,hoed,9
afdoen,stof,9
afdrijven,water,28
afdrijven,boot,24
afdrijven,zee,18
afdrijven,abortus,15
afdrogen,handdoek,56
afdrogen,afwas,39
afdrogen,douche,16
afdrogen,nat,16
afdruk,print,30
afdruk,kopie,25
afdruk,foto,22
afdruk,voet,18
afdrukken,printen,55
afdrukken,printer,36
afdrukken,papier,32
afdrukken,computer,17
afdwingen,eisen,22
afdwingen,respect,13
afdwingen,moeten,11
afdwingen,afpersen,10
affaire,zaak,29
affaire,relatie,23
affaire,verhouding,19
affaire,liefde,11
affectie,liefde,57
affectie,genegenheid,23
affectie,knuffel,18
affectie,gevoel,13
affiche,reclame,38
affiche,poster,27
affiche,fuif,11
affiche,papier,9
afgang,schaamte,20
afgang,mislukking,10
afgang,vernedering,10
afgang,diarree,9
afgedragen,versleten,65
afgedragen,oud,43
afgedragen,kleding,12
afgedragen,tweedehands,12
afgelegen,ver,59
afgelegen,rustig,20
afgelegen,alleen,14
afgelegen,eenzaam,14
afgelopen,gedaan,65
afgelopen,einde,38
afgelopen,voorbij,31
afgelopen,over,14
afgemeten,juist,22
afgemeten,precies,20
afgemeten,gepast,9
afgemeten,nauwkeurig,7
afgerond,klaar,35
afgerond,gedaan,18
afgerond,rond,14
afgerond,einde,13
afgeven,cadeau,9
afgeven,geld,9
afgeven,afstaan,8
afgeven,overhandigen,8
afgewerkt,klaar,60
afgewerkt,gedaan,25
afgewerkt,af,16
afgewerkt,netjes,10
afgod,idool,32
afgod,beeld,11
afgod,godsdienst,10
afgooien,wegwerpen,12
afgooien,uitdoen,11
afgooien,weggooien,9
afgrijselijk,lelijk,56
afgrijselijk,afschuwelijk,24
afgrijselijk,verschrikkelijk,20
afgrijselijk,erg,19
afgrond,diepte,34
afgrond,ravijn,28
afgrond,vallen,26
afgrond,diep,25
afgunst,jaloezie,48
afgunst,nijd,30
afgunst,jaloers,17
afgunstig,jaloers,67
afgunstig,jaloezie,15
afgunstig,nijd,15
afgunstig,nijdig,14
afhakken,boom,33
afhakken,bijl,27
afhakken,hand,16
afhakken,hoofd,10
afhalen,chinees,48
afhalen,kinderen,15
afhalen,ophalen,15
afhalen,geld,14
afhankelijk,kind,15
afhankelijk,onafhankelijk,15
afhankelijk,geld,10
afhankelijk,onzelfstandig,9
afhouden,boot,12
afhouden,afstand,11
afhouden,tegenhouden,11
afhouden,weghouden,11
afkeer,vies,30
afkeer,bah,15
afkeer,haat,12
afkeur,negatief,28
afkeur,slecht,21
afkeur,vies,12
afkeur,walging,10
afkeuren,negatief,20
afkeuren,slecht,16
afkeuren,afwijzen,12
afkeuren,nee,11
afkijken,spieken,59
afkijken,school,23
afkijken,oneerlijk,11
afknippen,haar,54
afknippen,schaar,47
afknippen,kapper,14
afknippen,kort,12
afkoelen,koud,24
afkoelen,ijs,21
afkoelen,water,19
afkoelen,warm,17
afkomst,familie,24
afkomst,ouders,23
afkomst,geboorte,16
afkomst,origine,14
afkorting,kort,23
afkorting,puntjes,8
afkorting,snel,8
afleggen,afstand,20
afleggen,eed,17
afleggen,verliezen,12
afleren,moeilijk,15
afleren,gewoonte,13
afleren,hond,11
aflikken,ijsje,28
aflikken,hond,25
aflikken,lekker,23
aflikken,bord,17
afloop,einde,67
afloop,gedaan,20
afloop,water,12
afloop,resultaat,9
afmaken,doden,43
afmaken,klaar,15
afmaken,afwerken,13
afmaken,beëindigen,12
afmeting,grootte,35
afmeting,lengte,27
afmeting,meter,26
afmeting,groot,12
afnemen,afpakken,21
afnemen,verminderen,21
afnemen,kopen,10
afpakken,stelen,36
afpakken,nemen,14
afpakken,wegnemen,14
afpakken,afnemen,12
afrika,warm,30
afrika,zwart,22
afrika,arm,13
afrika,armoede,13
afrikaan,zwart,41
afrikaan,neger,32
afrikaan,afrika,20
afrikaan,zwarte,13
afrit,autostrade,40
afrit,auto,25
afrit,snelweg,20
afrit,oprit,18
afronden,stoppen,23
afronden,gedaan,19
afronden,beeindigen,14
afruimen,tafel,58
afruimen,afwas,21
afruimen,eten,15
afruimen,opruimen,14
afschaffen,stoppen,20
afschaffen,gedaan,17
afschaffen,wegdoen,14
afschaffen,weg,12
afscheid,verdriet,32
afscheid,dood,25
afscheid,tranen,16
afscheid,reis,14
afschermen,beschermen,42
afschermen,bedekken,13
afschermen,verdedigen,8
afscheuren,kalender,34
afscheuren,papier,34
afscheuren,blad,9
afscheuren,politiek,9
afschrijven,spieken,38
afschrijven,overschrijven,10
afschrijven,boekhouding,9
afschrijven,school,9
afschuw,vies,34
afschuw,afkeer,23
afschuw,walging,17
afschuw,haat,13
afschuwelijk,lelijk,52
afschuwelijk,erg,24
afschuwelijk,vies,23
afschuwelijk,vreselijk,23
afslaan,links,23
afslaan,rechts,21
afslaan,auto,19
afslaan,weigeren,19
afslag,autostrade,26
afslag,solden,20
afslag,afrit,15
afslag,korting,15
afsluiten,stoppen,25
afsluiten,sleutel,17
afsluiten,deur,15
afsluiten,dichtdoen,15
afsluiting,hek,53
afsluiting,einde,21
afsluiting,omheining,16
afsluiting,poort,14
afsnijden,mes,34
afsnijden,vlees,15
afsnijden,bocht,10
afsnijden,pijn,10
afspraak,date,30
afspraak,dokter,18
afspraak,tijd,14
afspraak,agenda,13
afspraken,agenda,36
afspraken,nakomen,23
afspraken,dokter,11
afspreken,date,23
afspreken,agenda,15
afspreken,vrienden,13
afstaan,weggeven,32
afstaan,adoptie,22
afstaan,afgeven,19
afstaan,kind,16
afstand,ver,60
afstand,kilometer,19
afstand,auto,13
afstand,weg,12
afstandelijk,ver,29
afstandelijk,koel,26
afstandelijk,koud,26
afstandelijk,kil,8
afstandsbediening,tv,51
afstandsbediening,televisie,23
afstandsbediening,zappen,15
afstandsbediening,lui,10
afstappen,trein,36
afstappen,bus,32
afstappen,fiets,26
afstappen,tram,24
afstel,uitstel,80
afstel,later,8
afstel,annuleren,6
afstellen,regelen,28
afstellen,precies,9
afstellen,instellen,7
afsterven,dood,30
afsterven,doodgaan,21
afsterven,planten,13
afsterven,herfst,11
afstoffen,kuisen,27
afstoffen,stof,26
afstoffen,vuil,19
afstoffen,poetsen,14
afstotelijk,lelijk,69
afstotelijk,vies,27
afstotelijk,afschuwelijk,11
afstuderen,diploma,61
afstuderen,werken,26
afstuderen,werk,21
afstuderen,school,10
aftakeling,oud,32
aftakeling,ouderdom,21
